1 34 1
1 38 1
1 160 1
1 224 1
1 258 1
1 287 1
1 356 1
1 603 1
1 659 1
1 667 1
1 741 1
1 749 1
1 756 1
1 966 1
1 974 1
1 1009 1
1 1032 1
1 1152 1
1 2131 1
1 2654 1
1 2769 1
2 50 1
2 136 1
2 151 1
2 180 1
2 256 1
2 328 1
2 395 1
2 587 1
2 596 1
2 614 1
2 667 1
2 674 1
2 828 1
2 839 1
2 841 1
2 843 1
2 852 1
2 858 1
2 899 1
2 932 1
2 1315 1
2 1561 1
2 2059 1
2 2331 1
2 2899 1
2 2903 1
3 216 1
3 269 1
3 365 1
3 658 1
3 689 1
3 696 1
3 874 1
3 935 1
3 1014 1
3 1558 1
3 1763 1
3 1868 1
3 2291 1
3 2381 1
3 3263 1
4 117 1
4 127 1
4 267 1
4 677 1
4 1482 1
4 1571 1
4 1607 1
4 1849 1
4 1932 1
4 2342 1
4 2376 1
4 2402 1
4 2677 1
4 2705 1
4 3008 1
4 3306 1
5 132 1
5 147 1
5 163 1
5 210 1
5 334 1
5 339 1
5 364 1
5 387 1
5 682 1
5 695 1
5 757 1
5 869 1
5 873 1
5 1384 1
5 1643 1
6 987 1
6 1436 1
6 1523 1
6 1605 1
6 1821 1
6 2273 1
6 2278 1
6 2291 1
6 2331 1
6 2456 1
6 2729 1
6 2830 1
6 3072 1
6 3081 1
6 3084 1
6 3087 1
6 3089 1
6 3185 1
6 3189 1
6 3336 1
6 3355 1
6 3413 1
6 3462 1
7 111 1
7 940 1
7 945 1
7 2115 1
7 2193 1
7 2258 1
7 2408 1
7 2416 1
7 2498 1
7 2506 1
7 2510 1
7 2511 1
7 2529 1
7 2550 1
7 2583 1
7 2678 1
7 2679 1
7 3123 1
8 266 1
8 304 1
8 402 1
8 1015 1
8 1226 1
8 1357 1
8 1449 1
8 1499 1
8 1506 1
8 1547 1
8 1654 1
8 1658 1
8 1660 1
8 1671 1
8 1744 1
8 2059 1
8 2552 1
8 2917 1
8 2988 1
